ID,Universe#,ControllerID,Output#,Name,Location,Comment,Active,Type,Color,ColorName
30,1,2,14,$Tree- Tomato A8.2 {R} (G),Front row rightmost,,True,14,#00FF00,Green
31,1,2,15,$Tree- Tomato A8.3 {R} (B),Front row rightmost,,True,14,#0000FF,Blue
32,1,2,16,$Tree- Tomato A8.4 {R} (W),Front row rightmost,,True,14,#FFFFFF,Transparent
33,1,3,1,$Tree- Tomato B1.1 {L} (V),"Back row, leftmost",,True,14,#8000FF,DarkViolet
34,1,3,2,$Tree- Tomato B1.2 {L} (W),"Back row, leftmost",,True,14,#FFFFFF,Transparent
35,1,3,3,$Tree- Tomato B2.1 (V),Back row 2nd from Left,,True,14,#8000FF,DarkViolet
36,1,3,4,$Tree- Tomato B2.2 (W),Back row 2nd from left,,True,14,#FFFFFF,Transparent
37,1,3,5,$Tree- Tomato B3.1 (V),,,True,14,#8000FF,DarkViolet
38,1,3,6,$Tree- Tomato B3.2 (W),,,True,14,#FFFFFF,Transparent
39,1,3,7,$Tree- Tomato B4.1 {CL} (V),Back row left of Center,,True,14,#8000FF,DarkViolet
40,1,3,8,$Tree- Tomato B4.2 {CL} (W),Back row left of Center,,True,14,#FFFFFF,Transparent
41,1,3,9,$Tree- Tomato B5.1 {CR} (V),Back row right of center,,True,14,#8000FF,DarkViolet
42,1,3,10,$Tree- Tomato B5.2 {CR} (W),Back row right of center,,True,14,#FFFFFF,Transparent
43,1,3,11,$Tree- Tomato B6.1 (V),,,True,14,#8000FF,DarkViolet
44,1,3,12,$Tree- Tomato B6.2 (W),,,True,14,#FFFFFF,Transparent
45,1,3,13,$Tree- Tomato B7.1 (V),Back row 2nd from the right,,True,14,#8000FF,DarkViolet
46,1,3,14,$Tree- Tomato B7.2 (W),Back row 2nd from the right,,True,14,#FFFFFF,Transparent
47,1,3,15,$Tree- Tomato B8.1 {R} (V),Back row rightmost,,True,14,#8000FF,DarkViolet
48,1,3,16,$Tree- Tomato B8.2 {R} (W),Back row rightmost,,True,14,#FFFFFF,Transparent
49,1,4,1,(Future Tree) O01,Controller D Output 1,,False,18,#C0C0C0,Silver
50,1,4,2,(Future Tree) O02,Controller D Output 2,,False,18,#C0C0C0,Silver
